word,freq,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
aam,61,aum,apm,aami,adm,abm,amm,aap,aem,acm,asm,aah,iam,aat,einem,naam,eam,aab,alm,afm,aac
abdication,61,abdicated,succession,resigning,heirs,deposed,annulment,abduction,appoints,oversaw,departure,overthrowing,abd,incumbent,expulsion,resignation,abducting,evacuation,,,
abingdon,61,bullingdon,abington,abram,abney,hillingdon,oxfordshire,aylesbury,abbeville,abhay,abiding,abilene,gloucestershire,abp,abydos,abbie,croydon,abou,newbury,aby,buckinghamshire
acetone,61,acetate,ketone,acetyl,acetic,acetaldehyde,acetylene,carbonyl,solvent,acetylation,esters,chemicals,hydrate,lubricant,ace,carboxyl,peroxide,kerosene,aroma,isopropyl,
actuarial,61,actuaries,annuities,actu,insuring,insurer,martingale,underwriting,acct,savings,fiduciary,insurance,premiums,superannuation,risk,pensions,,,,,
adel,61,adela,adl,edel,appel,adlai,ade,devel,edsel,aksel,enel,bushel,ciel,adil,areal,adelson,accel,hamel,niel,bartel,abdel
adirondack,61,catskills,onondaga,adi,upstate,acadia,niagara,alaskan,ticonderoga,suny,algonquin,poughkeepsie,newyork,denali,nys,wooded,westchester,canandaigua,alaska,hiking,
admittance,61,admit,admission,entering,entrance,entry,initiation,belong,joining,accession,inviting,enrolling,allotted,allowing,,,,,,,
adolph,61,adolphus,adolf,adolphe,auguste,adolfo,diego,eduard,einstein,salvatore,dmitri,andreas,gustave,humboldt,edwin,von,henrik,moritz,dmitry,edith,jacob
adventist,61,advent,dai,apostolic,sabbath,sda,lds,adl,congregation,missionary,dei,adi,evangelical,ada,archangel,evangelism,doctrine,san,dts,,
aggravate,61,aggravation,aggrieved,aggressor,aggrandizement,agressive,aggro,aggrandizing,agitating,infuriate,raging,aggressive,angering,angriest,,,,,,,
aia,61,aiaa,aii,architects,aio,aea,iaa,architectural,hoa,autocad,nia,architecture,caa,sia,bldg,ila,eaa,aei,architecturally,,
airbase,61,airfield,afb,bases,airforce,base,stationed,starbase,usaf,homebase,airstrip,airman,barracks,airframe,raf,airport,airstrike,deployed,,,
albemarle,61,abbeville,waverly,eberle,alderson,arles,biddle,wardle,delmarva,brindle,sproule,wardell,mable,bartle,brielle,keeble,,,,,
alcatraz,61,prison,penitentiary,inmates,prisoners,convicts,jails,incarceration,incarcerated,albee,imprisoned,alcazar,imprisonment,,,,,,,,
alcohols,61,liquors,vodkas,alcoholics,beverages,booze,drinks,substances,ethanol,beers,livers,whiskeys,drinkers,liquids,vodka,yeasts,,,,,
allot,61,all,allotment,alluding,allred,allin,alot,allo,allocate,alll,allu,allister,allege,allez,totalled,allways,everyone,,,,
alpaca,61,llama,animal,camel,llamas,sloth,antelope,armadillo,mammal,hippo,goats,monkey,elk,chimp,ostrich,sheep,peruvian,horse,,,
alveolar,61,alveoli,pulmonary,molar,respiratory,ald,alkaline,bronchial,tooth,lung,airway,maxillary,gingival,aloft,radiologic,pneumonic,thoracic,alr,mammalian,morphological,periodontal
aly,61,alys,ady,alyn,ary,ashy,anny,alby,thay,ayy,aliya,arcy,johny,airy,illy,alo,alyson,albie,elly,araby,loy
ambivalence,61,ambivalent,ambiguities,dissonance,conflicted,amuse,pensive,dissonant,ambience,dissension,emphatically,unhappily,ambiguous,disoriented,unchanging,impasse,contradictory,disillusionment,strangeness,differing,
amine,61,amines,amin,amina,amino,substance,amide,drug,histamine,methyl,aniline,monoamine,molecule,aminu,molecular,melamine,diamine,asinine,guanine,dopaminergic,
amma,61,ammi,amla,amba,amm,imma,amrita,ammar,aam,amb,salma,ammon,soma,amble,ameen,amu,ameer,mima,ambi,paloma,amrit
amped,61,amp,doped,amply,amplified,beefed,channeled,circuited,metered,ramped,addled,salted,pumped,meted,dosed,bettered,buffered,upped,powered,racked,
amphitheater,61,amphitheatre,auditorium,venue,concerts,arena,stadium,theaters,amp,onstage,pavilion,booths,facility,headlining,amplification,coliseum,,,,,
anathema,61,anagram,summa,symbolic,inanimate,ana,dogma,anamorphic,vehement,exemplifies,symbolizes,epitome,anarchic,shadows,illusion,indefinite,antithetical,incantation,anatomic,fume,anaemic
andrade,61,anda,andro,andante,andras,anderton,andra,andthe,andrus,ander,andros,centigrade,ando,trader,andromeda,andalusia,andi,andris,andujar,andor,andie
angelique,61,angeline,angelika,angeli,angelic,angelico,angell,emmanuelle,angelis,evangeline,jacqueline,angelus,edie,francesca,veronique,francie,angel,jeanette,cardi,cecile,adrienne
anni,61,anno,ani,annus,anny,ann,annika,annunzio,leni,milli,madi,alli,belli,annunciation,cami,reni,nella,annul,soni,hani,
ansari,61,ani,vasari,anil,ansi,anbar,anissa,ancona,anish,anja,ankh,anika,anjali,ansa,ansell,einer,ania,anka,anjou,animus,
anthropogenic,61,anthropocene,anthro,anthropomorphic,anthropologie,anthropoid,humankind,humanity,mankind,environmental,anthropomorphism,anthropometric,human,extraterrestrial,earthlings,endangerment,unsustainable,environment,anthropological,carbon,sapiens
anz,61,aus,anc,abn,anu,australasian,anza,suncorp,australian,australia,biz,nbn,superannuation,australasia,organisations,amzn,australis,anf,aussies,,
appeasement,61,appease,apprised,appellant,avenging,vindication,peacemaking,surrendered,conciliation,apprehend,incitement,agreeing,hostilities,capitulation,sympathizers,approbation,overthrowing,belligerent,,,
appendages,61,appendices,limbs,append,anatomy,fasteners,arms,appendectomy,linkages,tendons,invertebrates,screws,structures,addendum,insertions,sleeves,girdles,,,,
appraisals,61,appraising,appraisers,evaluations,valuations,reappraisal,assesses,evaluating,assessments,assessors,evaluative,judgements,evaluators,,,,,,,,
appraiser,61,appraising,appraisal,assessor,conservator,auctioneer,purveyor,valuer,antiques,curator,realtor,valuation,assessee,evaluator,adjuster,,,,,,
appropriating,61,appropriation,imparting,repudiation,appreciable,infringing,perpetuating,pretending,denying,impersonating,approbation,repudiating,alleging,disregarding,constituting,impropriety,appeasing,complicating,possessing,infringement,inaugurating
arboretum,61,gardens,flora,greenery,botanic,arbor,bushes,parks,atrium,herbarium,forest,garden,overgrown,botany,trees,plantings,surroundings,vegetation,woodland,botanical,landscape
archivist,61,archival,curator,archiving,archeologist,librarian,historian,documentarian,archiv,fonds,genealogist,curatorial,documenting,preservation,curation,collector,secretarial,,,,
aretha,61,hertha,isiah,thelma,geetha,areola,isha,amma,reba,beulah,arezzo,loretta,bettina,etta,rebekah,ashanti,areva,alissa,brotha,velma,coretta
argent,61,argento,crest,argentinian,oro,sable,silver,argentine,buenos,beast,horde,mates,heraldic,snarl,cass,verity,claws,tail,mint,lair,
arraignment,61,arraigned,defendant,arrest,indictment,consignment,offenses,offences,offender,indicted,accused,alleging,incarceration,apprehension,magistrates,retrial,apprehended,prosecuting,suspects,,
arsehole,61,arse,scum,asshat,shite,ass,assed,rustle,arsene,ramshackle,sleaze,cunt,asswipe,insulted,twat,rubbish,asshole,whinge,,,
artisanal,61,artisan,artful,crafted,handcrafted,artistic,artfully,artsy,artistry,artistically,handmade,chiseled,industrious,fabricate,artiste,craftsmen,skillful,abrasive,articulate,,
arvind,61,arvin,dravid,arvid,arvada,arv,vivek,bhagavad,parveen,dravidian,arndt,dev,advaita,javed,aru,torvalds,arvo,ary,arf,rajiv,navin
asahi,61,sake,plate,japanese,hokkaido,tokyo,piccolo,nippon,jpn,meiji,yue,fuji,prefecture,sumo,tanaka,pal,sato,ono,saitama,sakura,boiled
ascertained,61,validated,aspirated,qualified,underwent,aspirants,assessed,verifying,constituted,recognised,acceded,attested,pertained,audited,scrutinized,aspirational,substantiated,assayed,expressed,,
asgard,61,asgardian,norse,asos,midgard,thor,aster,odin,astley,asta,asquith,asda,aswell,aslam,asx,astana,asma,loki,asuka,aslan,asg
astrologer,61,astrological,astrology,horoscope,astronomer,zodiac,aries,occultist,influencer,logger,orbiter,astro,predictor,astrophysicist,summoner,pollster,numerology,forecaster,devotee,,
auguste,61,augustus,alfred,augusto,adolphe,académie,alexandre,gustave,edouard,augustin,albert,agustin,emile,antoine,frederic,aug,jules,adolph,emery,academie,olivier
aurelius,61,aurelio,aurelia,antonius,galilean,pontius,romans,flavius,lucretius,emperor,aureus,aurum,antoninus,constantius,tullius,lucius,alphonse,lucian,augustus,severus,auric
aureus,61,mrsa,atreus,cereus,staphylococcus,aurum,bacterial,staph,chartreuse,sleeve,audley,bacteria,aegis,aub,infected,albrecht,bacterium,regal,armour,osbourne,hatfield
authorise,61,authorisation,authorize,authorization,authentication,auth,appoint,authenticated,privileges,conferred,ratify,instituting,assist,,,,,,,,
awd,61,rwd,obd,awning,auto,automotive,sae,automobile,awg,awad,audi,nissan,fwd,acd,wds,sedan,bmw,vehicles,steering,drivetrain,
bacchus,61,baucus,theseus,hercules,gracilis,sisyphus,camus,colossus,deus,horus,cadmus,baugh,primus,magus,rhesus,minotaur,succubus,calum,romulus,cerberus,janus
banknotes,61,monetary,cheques,footnotes,moneys,bank,currencies,coinage,euros,rubles,note,pennies,monies,wallets,dollar,shillings,bankable,,,,
bantam,61,bantamweight,banta,banbury,banton,banyan,banfield,bantu,bannock,banzai,bannu,bannister,banshee,bann,banbridge,banal,bannatyne,banna,banish,banter,
barked,61,growled,yelled,howled,grunted,sniffed,snarled,erupted,swore,squeaked,shouted,chewed,moaned,hummed,dogged,ticked,sounded,,,,
barrack,61,barrick,barr,barris,barra,barricade,barringer,barratt,barros,barring,barroom,barro,bombard,carrack,bunker,barracuda,balk,barroso,,,
batty,61,batt,batten,battier,catty,bat,glowy,itty,bitty,geeky,qty,bby,batmobile,campy,batley,bombastic,zany,batshit,volt,,
beaker,61,beak,experimenter,spectrometer,strainer,apparatus,experiment,spooner,specimen,laboratory,spoon,sniffer,syringe,probe,stemmed,analyzer,lab,,,,
belcher,61,bucher,belk,becher,belsen,escher,bel,schleicher,belford,belch,blucher,belden,thacher,belfry,melcher,beloit,drescher,belmar,belvidere,bleacher,belmore
belive,61,beleive,belie,bel,beleaguered,beli,believe,evident,bool,belo,belial,confirm,believin,true,exist,factual,,,,,
bellow,61,bellowing,bello,billow,wallow,bellum,belligerent,bellinger,bell,bellied,bellwether,bellicose,bel,belloc,belli,bellona,bestow,bellflower,callow,,
belted,61,belting,collared,corded,necked,juiced,waisted,robed,netted,roped,lidded,balled,pieced,pegged,caged,ringed,wielded,roused,ironed,,
belvedere,61,belvidere,belvoir,belcher,belfry,belfort,belgravia,belmore,belsen,belford,belgrave,belden,bel,belmar,belen,vere,belair,beveled,beloit,beleaguered,belgique
benefactors,61,philanthropists,donors,beneficiaries,patrons,philanthropy,philanthropic,donations,funders,giving,recipients,patronage,supporters,contributions,backers,bequeathed,,,,,
