lemma,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
aax,aex,anx,acx,eax,iax,apx,abx,afx,adx,amax,amx,anax,audax,alx,asx,arx,activex,avx,axx,alix
aconitine,aconite,aconitum,aconitase,acolyte,appanoose,sistine,tartine,eckstine,muscatine,acai,carnitine,americaine,américaine,tontine,alkaloid,cantine,nicotine,açaí,melonie,eponine
adamo,adamou,adamu,adame,adami,adamov,adama,adamic,davido,adam,dano,jeno,arko,asso,jordano,arabo,anno,adamek,adamawa,ajo,adamec
adhikar,adhikari,ashkar,akkar,diwakar,aakar,madhukar,achrekar,shekar,ambedkar,sakar,bhaskar,sikar,patkar,sarkar,adyar,kakar,dibakar,karmakar,kikar,omkar
adminstrator,adminstration,adminstrative,administrat,administrate,administra,administrator,administratif,administr,adminis,administración,administration,administrative,administ,administrati,admin,administer,officeholder,permanant,dmin,custodian
adriano,adrianus,adriana,adrian,adriani,adriane,adrián,justino,dano,tristano,rolando,sudano,virgilio,davido,piero,deano,adrianna,rafo,gilberto,juliano,adamo
adventuress,adventuresome,adventure,adventurous,adventurer,adventurousness,adventurism,expedition,adventurously,misadventure,exploration,explore,adventurist,adventureland,peradventure,extravaganzas,fun,thrill,worldventure,fiascos,escapism
afflatus,affluenza,affront,inflata,affixation,affo,afflalo,afore,affix,legatus,affiliative,affogato,fatass,afa,tractatus,aford,affer,affi,afeard,affray,afab
ainhoa,nihoa,aina,pahoa,khoa,ainslee,hohaia,coho,eshoo,nathoo,hooha,sahoo,yhoo,hohoho,ainslie,imahara,inaho,aroha,achoo,cooh,hoo
akali,akal,akala,aali,akari,akani,kayli,akasha,kayle,charli,akash,akana,akay,akara,anneli,yoli,ashli,arli,orli,aili,alil
akram,ahram,asaram,ikram,abram,ajram,garam,khurram,avram,keram,joram,afram,jeram,ibram,puram,bairam,horam,jairam,osram,yoram,kram
alejandro,alex,alexander,alessandro,álex,cristina,augusto,javier,eduardo,alexandre,alec,agustin,agustín,jaime,guillermo,alvaro,mateo,álvaro,rodrigo,isabel,aleksandr
alinejad,ahmadinejad,nejad,zibanejad,ahmedinejad,iranian,amjad,ali,iran,alī,alireza,persian,alisha,alisher,sajad,sajjad,aliran,alii,alizadeh,alisan,alija
alkyne,alkylene,alkynyl,alkyl,alkene,alkyd,alky,alcyone,alkane,acetylene,alkenyl,alkylamine,alne,alkylate,alcmene,alken,ethynyl,alkylation,alcyon,algerine,alkan
amasse,amass,amasa,susse,elisse,amasis,amane,vasse,manasse,amatuer,amate,amaaaze,josse,amature,gosse,alesse,amacher,nisse,amaker,amash,amante
amateurishly,amateurish,amateurishness,amateur,amateurism,obliviously,laboriously,idiotically,moronically,carelessly,inane,inadvertantly,sloppy,spuriously,laborious,embarrassingly,incompetently,haphazardly,needlessly,foolishly,unnecessarily
amazonsmile,amazon,amazonbasic,amazone,amazonite,amazonfresh,unsmile,amazona,asile,utile,toile,goldsmid,revile,ussery,severly,defile,bundle,bissextile,ultrasoft,avile,downloadable
ambach,umbach,staubach,auerbach,marbach,alpbach,kalmbach,altbach,seebach,kobach,urbach,saalbach,maibach,maybach,mansbach,ambler,steinbach,haibach,krombach,forbach,eberbach
analyzation,analysis,analyze,analy,analise,analyse,analytique,analize,analysen,analisi,analytical,análisis,analysand,analyt,reanalyze,analyzable,analiza,analytic,overanalyzing,analytically,overanalyze
anastasius,anastasio,anastasi,anastacio,anastasiya,anastacia,ananus,aristaeus,anabasis,anasta,anais,athanasius,orosius,anaïs,anacs,ambrosius,ekstasis,hosius,anaylsis,anacleto,eustace
andalite,andalusite,tonalite,armalite,witherite,opalite,fayalite,andal,serpentinite,anda,calamite,alunite,fluorite,diorite,tellurite,andthe,andalus,mineral,andesite,mullite,andi
antha,anthu,anth,mitha,antho,anthia,etha,anthea,anthe,hatha,anther,natha,catha,jetha,katha,spatha,mithra,adha,anthy,artha,medha
antifouling,antibacterial,antifungal,anticorrosion,anticorrosive,antiseptic,antiseptically,antiship,anti,mooring,antitheft,antitank,antimicrobial,inhibits,antibonde,antiage,antistatic,fishguard,antiparasitic,antifreeze,antiviral
anzor,uzor,lazor,mazor,hazor,obzor,anor,ansar,anza,scizor,anjir,anbar,aylor,aynor,anither,anzai,ansgar,anvil,nazr,ankh,ayr
appreciate,appreciation,thank,sincerely,acknowledge,thanksgive,thankyou,gratitude,kindly,thankful,praise,grateful,thanku,wonderful,appreciative,thankin,bless,respect,thankfull,compliment,generous
arduino,arduin,fpga,microcontroller,gpio,verilog,uart,atmega,reconfigurable,iot,sensor,ardua,vhdl,robot,transistor,controller,raspberrypi,programmable,smartthing,automation,programming
